id,bucket,tier,status,question,owner_answer,owner_notes
P01,Product,T1,needs_owner_approval,"Where is the hair from?","","Do not claim a country, single donor, or ethical sourcing without supplier evidence."
P02,Product,T1,approved,"What do virgin and Remy mean?","Virgin usually means the hair has not been chemically processed. Remy describes hair whose cuticles are kept aligned in one direction, which helps reduce tangling. Our products are listed as 100% virgin human hair; for the exact supplier classification of a particular piece, I’ll help you check with the owner.","Verify supplier classification for each product."
P03,Product,T1,approved,"What products and textures do you have?","We offer wigs, 300g bundle sets, and crochet human hair. Textures shown on the shop include Straight, Body Wave, Deep Wave, Loose Wave, Water Wave, and Burmese Curly. Availability depends on the product, so check the product page or ask me to take you to the owner for a specific piece.","Keep aligned with catalog.json."
P04,Product,T1,approved,"What lengths and densities are available?","Wigs are listed in 10–32 inches, bundles in 12–28 inches, and crochet hair in 16–26 inches. Wig densities shown are 180%, 200%, and 250%. The exact choices appear on each product page.","Keep aligned with catalog.json."
PR05,Pricing,T2,approved,"How much is this item?","Prices are shown in EUR on each product page and change with the style, length, density, and lace. For an exact quote, send the product or a screenshot plus the options you want and the owner will confirm the total before payment.","Never calculate an unverified quote in chat."
PR06,Pricing,T1,approved,"Is shipping included in the price?","Shipping is separate from the product price. The full EUR total is shown or confirmed before you pay.","Confirm if a future promotion includes shipping."
PAY07,Payment,T1,approved,"How can I pay?","You can pay in EUR by MB Way, PayPal, or secure card payment through Stripe. The correct payment details or link are provided after the order is confirmed. Please never send card details, PINs, passwords, or security codes in chat.","Keep aligned with CONFIG payment setup."
PAY08,Payment,T2,approved,"Can I pay in installments?","Installments are not listed as a standard payment option. Tell the owner which item you want and how you hoped to split the payment, and she’ll confirm whether anything is possible before you order.","Owner must confirm every exception."
S09,Shipping,T1,approved,"Do you ship worldwide?","Yes, we ship worldwide to the destinations listed in our shipping policy. Send your country and postcode if you’d like the owner to confirm the route and shipping cost before you order.","Keep country list current."
S10,Shipping,T1,approved,"How long does delivery take?","The current estimates are 3–7 business days for Europe, 5–10 for the Americas, and 5–12 for Africa. These are estimates after dispatch, not guaranteed arrival dates, and the destination or customs can affect timing.","Confirm whether processing time must be added."
S11,Shipping,T1,approved,"Can I track my order?","Yes. Tracking information is sent by email after the order is dispatched. If you have already ordered and need help, take this chat to the owner with your order number.","Do not request an order number in the website chat."
S12,Shipping,T2,approved,"Will I pay customs or import taxes?","Customs, VAT, import taxes, or destination fees are set by the destination country and are the customer’s responsibility under the current shipping policy. The shop cannot promise or calculate the exact charge, so send your country to the owner if you need route-specific guidance.","Never promise no customs charge."
R13,Returns and refunds,T1,approved,"What is your return policy?","The current policy treats sales as final because these are personal-use hair products. The exception is an item that arrives damaged, defective, or different from what was ordered; those cases are handled personally by the owner. If that happened, please use the WhatsApp handoff straight away.","Resolve the seven-day versus 48-hour conflict before adding a deadline."
R14,Returns and refunds,T3,approved,"My order arrived damaged or wrong. What do I do?","Human-only WhatsApp handoff.","Never debate eligibility or request proof in the website bot."
C15,Care,T1,approved,"How do I wash and care for the hair?","Gently detangle from the ends upward before washing. Use lukewarm water, a mild sulfate-free shampoo, and conditioner without rubbing or twisting. Rinse well and air-dry; use low heat with protectant if styling. Follow any product-specific care instructions included with your order.","Check against supplier care instructions."
C16,Care,T1,approved,"How do I install it?","Installation depends on the piece. If you are not used to cutting lace, sewing in bundles, or using adhesive, a qualified stylist is the safest choice. Never apply adhesive to irritated skin, and follow the adhesive maker’s instructions.","Add separate wig/bundle/crochet instructions later only if verified."
CU17,Customization,T2,approved,"Can I get a custom color?","Custom color may be possible. Send a clear inspiration photo, the product, length, and the date you need it. The owner will confirm what is realistic, the price, and timing before you pay.","Owner confirms every custom request."
CU18,Customization,T1,approved,"What lace sizes are available?","The shop lists 6×6, 7×7, 13×4, and 13×6 lace in HD or Transparent options, depending on the wig. Please check the product page for its exact choices.","Availability belongs in T2."
CU19,Customization,T2,approved,"Can I choose a different length?","The product pages show the standard length choices. If the length you want is not shown, send the product and desired inches to the owner so she can confirm availability, price, and timing.","Owner confirms nonstandard options."
O20,Contact and ordering,T1,approved,"How do I place an order?","You can place your order through WhatsApp. Send the product or screenshot, texture, length, lace or density if relevant, quantity, and delivery country. The owner will confirm availability and the full EUR total before sending payment details.","WhatsApp is the order channel."
O21,Contact and ordering,T2,approved,"Is this in stock?","Stock can change, so I don’t want to guess. Send the product or screenshot plus the length, texture, density, and lace you want, and the owner will confirm it for you.","Never cache stock as a T1 answer."
O22,Contact and ordering,T1,needs_owner_approval,"What are your hours?","","Add days, hours, and Europe/Lisbon timezone."
O23,Contact and ordering,T1,approved,"How can I contact you?","You can reach Asheerah Hair on WhatsApp at +351 914 522 508, by email at asheerahhair@gmail.com, on Instagram at @asheerah_hair, or on TikTok at @asheerahhair. For an order or personal help, WhatsApp is best.","Keep contact details current."
